Size,Repeat,Independent Chains,Time (ns)
16384,32,4,5.62542724609375
16384,32,4,5.566070556640625
16384,32,4,5.773656845092773
16384,32,4,5.715669631958008
16384,32,4,6.214532852172852
16384,32,4,5.684028625488281
16384,32,4,5.740297317504883
16384,32,8,11.197893142700195
16384,32,8,11.208498001098633
16384,32,8,11.243799209594727
16384,32,8,11.112064361572266
16384,32,8,11.212711334228516
16384,32,8,10.89447021484375
16384,32,8,10.973876953125
16384,32,8,11.115154266357422
16384,32,8,11.204744338989258
16384,32,8,11.345420837402344
16384,32,8,11.105125427246094
16384,32,8,11.781946182250977
16384,32,8,11.841897964477539
16384,32,8,11.47736930847168
16384,32,8,11.260587692260742
16384,32,8,11.084339141845703
16384,32,8,11.155118942260742
16384,32,8,11.50367546081543
16384,32,8,12.579713821411133
16384,32,8,11.13702392578125
16384,32,8,11.174070358276367
16384,32,8,10.900003433227539
16384,32,8,10.991554260253906
16384,32,8,11.099559783935547
16384,32,8,10.90511703491211
16384,32,8,11.221145629882812
16384,32,8,10.9437255859375
16384,32,8,10.981569290161133
16384,32,8,11.205310821533203
16384,32,8,11.20054817199707
16384,32,16,21.914403915405273
16384,32,16,22.004487991333008
16384,32,16,22.219194412231445
16384,32,16,22.074058532714844
16384,32,16,21.899757385253906
16384,32,16,21.981237411499023
16384,32,16,23.28035545349121
16384,32,16,21.859939575195312
16384,32,16,21.877418518066406
16384,32,16,21.946788787841797
16384,32,16,22.005966186523438
16384,32,16,22.023170471191406
16384,32,16,22.074541091918945
16384,32,16,21.760286331176758
16384,32,16,23.51372528076172
16384,32,16,21.983612060546875
16384,32,16,21.98320770263672
16384,32,16,21.974042892456055
16384,32,16,22.10805892944336
16384,32,16,21.984134674072266
16384,32,16,22.042139053344727
16384,32,16,21.959716796875
16384,32,16,21.938077926635742
16384,32,16,22.05173110961914
16384,32,16,21.851829528808594
16384,32,16,22.11288833618164
16384,32,16,22.92649269104004
16384,32,16,22.043474197387695
16384,32,16,22.020750045776367
16384,32,16,22.259859085083008
16384,64,1,1.4835205078125
16384,64,1,1.4857368469238281
16384,64,1,1.3765020370483398
16384,64,1,1.3805198669433594
16384,64,1,1.4715509414672852
16384,64,1,1.458033561706543
16384,64,1,1.3743915557861328
16384,64,1,1.3696327209472656
16384,64,1,1.4090604782104492
16384,64,1,1.3710908889770508
16384,64,1,1.380624771118164
16384,64,1,1.3873634338378906
16384,64,1,1.3806028366088867
16384,64,1,1.4965543746948242
16384,64,1,1.4867401123046875
16384,64,1,1.4586725234985352
16384,64,1,1.3933219909667969
16384,64,1,1.3743820190429688
16384,64,1,1.4568920135498047
16384,64,1,1.3806562423706055
16384,64,1,1.3750686645507812
16384,64,1,1.3791255950927734
16384,64,1,1.4913215637207031
16384,64,1,1.379368782043457
16384,64,1,1.4324216842651367
16384,64,1,1.4809303283691406
16384,64,1,1.3865642547607422
16384,64,1,1.370656967163086
16384,64,1,1.3911218643188477
16384,64,1,1.3824071884155273
16384,64,2,2.8201284408569336
16384,64,2,2.796664237976074
16384,64,2,2.786587715148926
16384,64,2,2.7941713333129883
16384,64,2,2.7585983276367188
16384,64,2,2.7499237060546875
16384,64,2,2.8184614181518555
16384,64,2,2.7600793838500977
16384,64,2,2.7834224700927734
16384,64,2,2.7874364852905273
16384,64,2,2.769312858581543
16384,64,2,2.778012275695801
16384,64,2,2.7800779342651367
16384,64,2,2.780454635620117
16384,64,2,2.81386661529541
16384,64,2,10.226282119750977
16384,64,2,2.7765378952026367
16384,64,2,2.752253532409668
16384,64,2,2.8705615997314453
16384,64,2,2.8333187103271484
16384,64,2,2.824873924255371
16384,64,2,2.8167428970336914
16384,64,2,2.835637092590332
16384,64,2,3.0320167541503906
16384,64,2,2.8628034591674805
16384,64,2,2.8267173767089844
16384,64,2,2.7975692749023438
16384,64,2,2.805251121520996
16384,64,2,2.7995128631591797
16384,64,2,2.894688606262207
16384,64,3,16.157865524291992
16384,64,3,4.112889289855957
16384,64,3,4.1024274826049805
16384,64,3,4.131958961486816
16384,64,3,4.109996795654297
16384,64,3,4.0865678787231445
16384,64,3,4.130088806152344
16384,64,3,4.108098983764648
16384,64,3,4.137637138366699
16384,64,3,4.088476181030273
16384,64,3,4.129826545715332
16384,64,3,4.065756797790527
16384,64,3,4.115571022033691
16384,64,3,4.04875373840332
16384,64,3,4.842080116271973
16384,64,3,4.083006858825684
16384,64,3,4.125554084777832
16384,64,3,4.131682395935059
16384,64,3,4.132983207702637
16384,64,3,4.228436470031738
16384,64,3,4.135944366455078
16384,64,3,4.044685363769531
16384,64,3,4.206356048583984
16384,64,3,4.130937576293945
16384,64,3,4.105233192443848
16384,64,3,4.098816871643066
16384,64,3,4.040630340576172
16384,64,3,4.116263389587402
16384,64,3,4.118906021118164
16384,64,3,4.128125190734863
16384,64,4,5.394705772399902
16384,64,4,5.348990440368652
16384,64,4,5.4707841873168945
16384,64,4,5.35085391998291
16384,64,4,5.536076545715332
16384,64,4,5.485565185546875
16384,64,4,21.64785861968994
16384,64,4,5.336313247680664
16384,64,4,5.5755205154418945
16384,64,4,5.517404556274414
16384,64,4,5.40286922454834
16384,64,4,5.532822608947754
16384,64,4,5.407360076904297
16384,64,4,5.313241958618164
16384,64,4,5.409667015075684
16384,64,4,5.478178977966309
16384,64,4,5.468101501464844
16384,64,4,5.359269142150879
16384,64,4,5.523868560791016
16384,64,4,5.350831985473633
16384,64,4,5.714018821716309
16384,64,4,5.532899856567383
16384,64,4,5.482122421264648
16384,64,4,5.476361274719238
16384,64,4,5.463483810424805
16384,64,4,5.393141746520996
16384,64,4,5.715302467346191
16384,64,4,5.483630180358887
16384,64,4,5.369810104370117
16384,64,4,5.356841087341309
16384,64,8,10.956612586975098
16384,64,8,10.947906494140625
16384,64,8,10.89873218536377
16384,64,8,10.883338928222656
16384,64,8,11.054572105407715
16384,64,8,11.014894485473633
16384,64,8,10.926565170288086
16384,64,8,10.94086742401123
16384,64,8,10.878074645996094
16384,64,8,10.949843406677246
16384,64,8,10.87822437286377
16384,64,8,10.91197681427002
16384,64,8,10.996793746948242
16384,64,8,10.9015474319458
16384,64,8,11.007171630859375
16384,64,8,10.961780548095703
16384,64,8,10.849230766296387
16384,64,8,10.859023094177246
16384,64,8,11.332093238830566
16384,64,8,10.966028213500977
16384,64,8,11.00970458984375
16384,64,8,10.933426856994629
16384,64,8,10.950459480285645
16384,64,8,11.043377876281738
16384,64,8,10.878058433532715
16384,64,8,10.968976020812988
16384,64,8,10.879878044128418
16384,64,8,11.052734375
16384,64,8,10.871323585510254
16384,64,8,10.950005531311035
16384,64,16,24.587712287902832
16384,64,16,21.889598846435547
16384,64,16,21.879337310791016
16384,64,16,21.72663116455078
16384,64,16,21.71219825744629
16384,64,16,21.856118202209473
16384,64,16,21.983643531799316
16384,64,16,21.660181045532227
16384,64,16,22.518482208251953
16384,64,16,21.880922317504883
16384,64,16,21.872965812683105
16384,64,16,21.822677612304688
16384,64,16,21.778661727905273
16384,64,16,21.695772171020508
16384,64,16,26.726733207702637
16384,64,16,21.732352256774902
16384,64,16,21.678053855895996
16384,64,16,21.991135597229004
16384,64,16,21.925856590270996
16384,64,16,28.815128326416016
16384,64,16,21.897801399230957
16384,64,16,21.98213768005371
16384,64,16,21.85962200164795
16384,64,16,21.77682590484619
16384,64,16,21.669825553894043
16384,64,16,21.814108848571777
16384,64,16,22.52359676361084
16384,64,16,21.82381248474121
16384,64,16,21.84351921081543
16384,64,16,21.909621238708496
16384,128,1,1.4127659797668457
16384,128,1,1.4213356971740723
16384,128,1,1.4183683395385742
16384,128,1,1.4222965240478516
16384,128,1,1.5582785606384277
16384,128,1,1.4505338668823242
16384,128,1,1.4374299049377441
16384,128,1,1.411107063293457
16384,128,1,1.3916082382202148
16384,128,1,1.4179339408874512
16384,128,1,1.4591164588928223
16384,128,1,1.4110474586486816
16384,128,1,1.4243035316467285
16384,128,1,1.4243755340576172
16384,128,1,1.4587054252624512
16384,128,1,1.424605369567871
16384,128,1,1.4085545539855957
16384,128,1,1.4102630615234375
16384,128,1,1.4559788703918457
16384,128,1,1.4213929176330566
16384,128,1,1.4259638786315918
16384,128,1,1.3984894752502441
16384,128,1,1.4016790390014648
16384,128,1,1.460069179534912
16384,128,1,1.581514835357666
16384,128,1,1.412261962890625
16384,128,1,1.415557861328125
16384,128,1,1.4617843627929688
16384,128,1,1.4237828254699707
16384,128,1,1.5055956840515137
16384,128,2,2.729719638824463
16384,128,2,2.700021743774414
16384,128,2,2.680117607116699
16384,128,2,2.6582226753234863
16384,128,2,2.631229877471924
16384,128,2,2.6537084579467773
16384,128,2,2.643324375152588
16384,128,2,2.6842589378356934
16384,128,2,2.672247886657715
16384,128,2,2.68971586227417
16384,128,2,2.757551670074463
16384,128,2,2.8067164421081543
16384,128,2,2.6969552040100098
16384,128,2,2.7511048316955566
16384,128,2,2.650143623352051
16384,128,2,2.7152557373046875
16384,128,2,2.6928510665893555
16384,128,2,2.642730236053467
16384,128,2,2.7437191009521484
16384,128,2,2.664505958557129
16384,128,2,2.6617002487182617
16384,128,2,2.7296018600463867
16384,128,2,2.7010650634765625
16384,128,2,2.7067174911499023
16384,128,2,2.656283378601074
16384,128,2,2.726686954498291
16384,128,2,2.728241443634033
16384,128,2,2.704347610473633
16384,128,2,2.7601847648620605
16384,128,2,2.7564139366149902
16384,128,3,3.976680278778076
16384,128,3,8.993577003479004
16384,128,3,4.286861896514893
16384,128,3,3.9539918899536133
16384,128,3,3.9636378288269043
16384,128,3,3.999688148498535
