Size,Repeat,Independent Chains,Time (ns)
16384,32,3,0.7282428741455078
16384,32,3,0.5890121459960938
16384,32,3,0.6571140289306641
16384,32,3,0.6932849884033203
16384,32,3,0.5557785034179688
16384,32,3,0.60760498046875
16384,32,3,0.6553382873535156
16384,32,3,0.6656436920166016
16384,32,4,0.7801227569580078
16384,32,4,1.2633037567138672
16384,32,4,1.2559642791748047
16384,32,4,1.0536746978759766
16384,32,4,1.3076400756835938
16384,32,4,0.7129936218261719
16384,32,4,1.0450363159179688
16384,32,4,1.2853622436523438
16384,32,4,0.8252983093261719
16384,32,4,1.3104228973388672
16384,32,4,1.2836456298828125
16384,32,4,1.2693614959716797
16384,32,4,1.2548847198486328
16384,32,4,1.0911750793457031
16384,32,4,1.0627765655517578
16384,32,4,1.2643413543701172
16384,32,4,1.0171260833740234
16384,32,4,1.2455368041992188
16384,32,4,1.2873878479003906
16384,32,4,0.8493499755859375
16384,32,4,1.1867599487304688
16384,32,4,1.2644309997558594
16384,32,4,1.309732437133789
16384,32,4,1.2010784149169922
16384,32,4,1.1877517700195312
16384,32,4,0.9395122528076172
16384,32,4,1.0596160888671875
16384,32,4,1.008047103881836
16384,32,4,1.0781440734863281
16384,32,4,0.8146266937255859
16384,32,4,0.72540283203125
16384,32,4,1.0724620819091797
16384,32,4,0.9635696411132812
16384,32,4,1.2047653198242188
16384,32,4,1.2974281311035156
16384,32,4,1.13653564453125
16384,32,4,0.9972724914550781
16384,32,4,1.3216075897216797
16384,32,4,1.0292701721191406
16384,32,4,1.17352294921875
16384,32,4,0.8256435394287109
16384,32,4,1.2544078826904297
16384,32,4,1.7351322174072266
16384,32,4,1.038583755493164
16384,32,4,1.2347850799560547
16384,32,4,0.8299732208251953
16384,32,4,1.2647247314453125
16384,32,4,0.9089202880859375
16384,32,4,1.2461605072021484
16384,32,4,0.99591064453125
16384,32,8,2.1075992584228516
16384,32,8,3.1331939697265625
16384,32,8,2.2892303466796875
16384,32,8,2.8614635467529297
16384,32,8,2.4255428314208984
16384,32,8,2.1396656036376953
16384,32,8,3.270486831665039
16384,32,8,2.116109848022461
16384,32,8,2.328977584838867
16384,32,8,3.234180450439453
16384,32,8,2.4510135650634766
16384,32,8,3.0193862915039062
16384,32,8,2.3606948852539062
16384,32,8,2.3944053649902344
16384,32,8,2.516061782836914
16384,32,8,2.6887569427490234
16384,32,8,2.3768577575683594
16384,32,8,2.6879405975341797
16384,32,8,2.635305404663086
16384,32,8,1.9509963989257812
16384,32,8,2.697751998901367
16384,32,8,2.1514415740966797
16384,32,8,2.6901988983154297
16384,32,8,2.6957778930664062
16384,32,8,2.4244842529296875
16384,32,8,2.305217742919922
16384,32,8,2.472381591796875
16384,32,8,2.6273975372314453
16384,32,8,2.6636085510253906
16384,32,8,2.6107635498046875
16384,32,8,2.472261428833008
16384,32,8,2.0966835021972656
16384,32,8,2.595468521118164
16384,32,8,2.376279830932617
16384,32,8,2.4786205291748047
16384,32,8,2.592987060546875
16384,32,8,3.420928955078125
16384,32,8,2.6911869049072266
16384,32,8,2.299406051635742
16384,32,8,2.6654891967773438
16384,32,8,2.1638145446777344
16384,32,8,2.602252960205078
16384,32,8,3.0644893646240234
16384,32,8,2.6551246643066406
16384,32,8,2.4359912872314453
16384,32,8,2.6527748107910156
16384,32,8,2.40106201171875
16384,32,8,3.1516456604003906
16384,32,8,2.221424102783203
16384,32,8,3.4302425384521484
16384,32,16,5.507728576660156
