Size,Single Eval per Kernel,Double Eval per Kernel,Repeat,Dummy Time (ns),Compute Time Out of Order (ns)
8388608,0,32,64,0.01842709630727768,0.7395116854459047
8388608,0,32,64,0.017905225977301598,0.7404554970562458
8388608,0,32,64,0.018494296818971634,0.7394316606223583
8388608,0,32,64,0.01842382736504078,0.7395415063947439
8388608,0,32,64,0.01837845705449581,0.7394392937421799
8388608,0,32,64,0.01813695952296257,0.7395751848816872
8388608,0,32,64,0.018385237082839012,0.7395705915987492
8388608,0,32,64,0.018366867676377296,0.7395327612757683
8388608,0,32,64,0.018535396084189415,0.7393671832978725
8388608,0,32,64,0.018338005989789963,0.7395900413393974
8388608,0,32,64,0.017960200086236,0.7395359557121992
8388608,0,32,64,0.018179981037974358,0.7395882476121187
8388608,0,32,64,0.018354563042521477,0.7396527398377657
8388608,0,32,64,0.01839916594326496,0.7394377887248993
8388608,0,32,64,0.018414558842778206,0.7394695244729519
8388608,0,32,64,0.01837926171720028,0.7396187111735344
8388608,0,32,64,0.018413176760077477,0.7395594976842403
8388608,0,32,64,0.018361344933509827,0.7394815273582935
8388608,0,32,64,0.018306592479348183,0.7396856509149075
8388608,0,64,64,0.018446972593665123,1.44019041582942
8388608,0,64,64,0.018057625740766525,1.4380904491990805
8388608,0,64,64,0.018377993255853653,1.4381464440375566
8388608,0,64,64,0.01836782693862915,1.4378277752548456
8388608,0,64,64,0.018407782539725304,1.4382468666881323
8388608,0,64,64,0.018364373594522476,1.4382018204778433
8388608,0,64,64,0.018285425379872322,1.438021345064044
8388608,0,64,64,0.01835518330335617,1.4383126236498356
8388608,0,64,64,0.01850338838994503,1.4382278490811586
8388608,0,64,64,0.01806912198662758,1.438272550702095
8388608,0,64,64,0.018303969874978065,1.4382423274219036
8388608,0,64,64,0.018548643216490746,1.439912609755993
8388608,0,64,64,0.017986061051487923,1.4380507748574018
8388608,0,64,64,0.01850886642932892,1.4380841441452503
8388608,0,64,64,0.018360573798418045,1.4380479902029037
8388608,0,64,64,0.018255965784192085,1.4377072490751743
8388608,0,64,64,0.0181282926350832,1.4379345141351223
8388608,0,64,64,0.018468178808689117,1.4382642544806004
8388608,0,64,64,0.018375057727098465,1.4378734678030014
8388608,0,64,64,0.018497690558433533,1.437836516648531
8388608,0,64,64,0.018167218193411827,1.4380474630743265
8388608,0,64,64,0.0183444544672966,1.4381618704646826
8388608,0,64,64,0.018289878964424133,1.4396180175244808
8388608,0,64,64,0.0184029471129179,1.4380595721304417
8388608,0,64,64,0.018474653363227844,1.438073931261897
8388608,0,64,64,0.01837739907205105,1.4380980264395475
8388608,0,64,64,0.01841403916478157,1.438151616603136
8388608,0,64,64,0.01838541403412819,1.438251256942749
8388608,0,64,64,0.01852465234696865,1.4380670804530382
8388608,0,64,64,0.018515396863222122,1.437985496595502
8388608,0,64,64,0.018475981429219246,1.4382552281022072
8388608,0,64,64,0.018140964210033417,1.4382171407341957
8388608,0,64,64,0.018332839012145996,1.4383711479604244
8388608,0,64,64,0.018441585823893547,1.4379826318472624
8388608,0,64,64,0.018289009109139442,1.4378518089652061
8388608,0,64,64,0.018490415066480637,1.438324373215437
8388608,0,64,64,0.018412036821246147,1.4382325615733862
8388608,0,64,64,0.018412386998534203,1.4383355490863323
8388608,0,64,64,0.018015947192907333,1.438020519912243
8388608,0,64,64,0.018506387248635292,1.4379798918962479
8388608,0,128,64,0.01839345321059227,2.8436070438474417
8388608,0,128,64,0.01837868243455887,2.8393712881952524
8388608,0,128,64,0.018505005165934563,2.840044353157282
8388608,0,128,64,0.018268557265400887,2.839389270171523
8388608,0,128,64,0.01844344288110733,2.839503785595298
8388608,0,128,64,0.01835046522319317,2.8396289981901646
8388608,0,128,64,0.018024038523435593,2.8391755521297455
8388608,0,128,64,0.01853598654270172,2.839781044051051
8388608,0,128,64,0.018417945131659508,2.8391750175505877
