Size,Single Eval per Kernel,Double Eval per Kernel,Repeat,Dummy Time (ns),Compute Time Out of Order (ns)
8388608,0,32,64,0.10791467688977718,3.3305872809141874
8388608,0,32,64,0.1097711119800806,3.328900223597884
8388608,0,32,64,0.10801803506910801,3.3317072559148073
8388608,0,32,64,0.10788999311625957,3.3315326422452927
8388608,0,32,64,0.10788461565971375,3.3289253916591406
8388608,0,32,64,0.10838304832577705,3.3317004442214966
8388608,0,32,64,0.10797596909105778,3.3306526727974415
8388608,0,32,64,0.10837028734385967,3.3315925169736147
8388608,0,32,64,0.10788359865546227,3.330548783764243
8388608,0,32,64,0.10808156244456768,3.3316590636968613
8388608,0,32,64,0.10803993232548237,3.331699611619115
8388608,0,32,64,0.10803020745515823,3.331410201266408
8388608,0,32,64,0.10821302607655525,3.3310381211340427
8388608,0,32,64,0.10799395851790905,3.3315098211169243
8388608,0,32,64,0.10827102698385715,3.331265203654766
8388608,0,32,64,0.10805295966565609,3.331658137962222
8388608,0,32,64,0.10804098844528198,3.3312927205115557
8388608,0,32,64,0.10790241323411465,3.3311515245586634
8388608,0,32,64,0.10804869793355465,3.3314722161740065
8388608,0,32,64,0.10792885534465313,3.3306411933153868
8388608,0,32,64,0.10799211449921131,3.3316938281059265
8388608,0,32,64,0.10815505124628544,3.328708630055189
8388608,0,32,64,0.10789899714291096,3.3305756356567144
8388608,0,32,64,0.10804376192390919,3.3317119292914867
8388608,0,32,64,0.10790646076202393,3.3305824510753155
8388608,0,32,64,0.10788832791149616,3.33057476952672
8388608,0,64,64,0.10788544081151485,6.495534610003233
8388608,0,64,64,0.10803866572678089,6.493472388014197
8388608,0,64,64,0.10818212106823921,6.495392177253962
8388608,0,64,64,0.10992063581943512,6.493264591321349
8388608,0,64,64,0.10799060389399529,6.49524631537497
8388608,0,64,64,0.10791207291185856,6.493136594071984
8388608,0,64,64,0.10789872147142887,6.494610585272312
8388608,0,64,64,0.10789372585713863,6.493074718862772
8388608,0,64,64,0.10805198177695274,6.496631218120456
8388608,0,64,64,0.10837785340845585,6.495076026767492
8388608,0,64,64,0.10788851231336594,6.493209697306156
8388608,0,64,64,0.10790304467082024,6.493251107633114
8388608,0,64,64,0.10788500122725964,6.4929999597370625
8388608,0,64,64,0.10806326381862164,6.49672626145184
8388608,0,64,64,0.10794472321867943,6.494787963107228
8388608,0,64,64,0.10978574492037296,6.493349643424153
8388608,0,64,64,0.10789634473621845,6.495771566405892
