Size,Repeat,Write per Kernel,Time (ns)
65535,128,3,0.5839088845654994
65535,256,3,0.5902613465133135
65536,32,1,0.4469132423400879
65536,32,2,0.3933067321777344
65536,32,4,0.3870120048522949
65536,64,1,0.4261600971221924
65536,64,2,0.3889331817626953
65536,64,4,0.46552443504333496
65536,128,1,0.4220658540725708
65536,128,2,0.3798116445541382
65536,128,4,0.3812021017074585
65536,256,1,0.5470259189605713
65536,256,2,0.37695300579071045
65536,256,4,0.385379433631897
131070,32,3,0.26365444037537195
131070,64,3,0.2570078250171664
131070,128,3,0.2544531905661097
131070,256,3,0.2530835741397726
131072,32,1,0.3550608158111572
131072,32,2,0.2722156047821045
131072,32,4,0.2623789310455322
131072,64,1,0.347322940826416
131072,64,2,0.2669978141784668
131072,64,4,0.2558997869491577
131072,128,1,0.3433312773704529
131072,128,2,0.26291871070861816
131072,128,4,0.25324785709381104
131072,256,1,0.34291908144950867
131072,256,2,0.262546569108963
131072,256,4,0.25165367126464844
262143,32,3,0.19684473264592225
262143,64,3,0.19459929790228997
262143,128,3,0.19242988917308493
262143,256,3,0.1914582552509508
262144,32,1,0.28389501571655273
262144,32,2,0.20096337795257568
262144,32,4,0.2005298137664795
262144,64,1,0.2795720100402832
262144,64,2,0.19765472412109375
262144,64,4,0.19781255722045898
262144,128,1,0.27855169773101807
262144,128,2,0.19654172658920288
262144,128,4,0.19675421714782715
262144,256,1,0.27744752168655396
262144,256,2,0.19521623849868774
262144,256,4,0.19544166326522827
524286,32,3,0.16419073988243058
524286,64,3,0.1625906470895656
524286,128,3,0.1613716976516634
524286,256,3,0.16114459563816314
524288,32,1,0.24745166301727295
524288,32,2,0.16447335481643677
524288,32,4,0.1720842719078064
524288,64,1,0.24622127413749695
524288,64,2,0.16332951188087463
524288,64,4,0.17096659541130066
524288,128,1,0.24554425477981567
524288,128,2,0.16274170577526093
524288,128,4,0.17002932727336884
524288,256,1,0.24815095961093903
524288,256,2,0.16193179786205292
524288,256,4,0.16947179287672043
1048575,32,3,0.14864271153708605
1048575,64,3,0.148054234318003
1048575,128,3,0.14756328529194382
1048575,256,3,0.25818458234985575
1048576,32,1,0.2304389774799347
1048576,32,2,0.14666837453842163
1048576,32,4,0.15851908922195435
1048576,64,1,0.22986896336078644
1048576,64,2,0.14568443596363068
1048576,64,4,0.15770162642002106
1048576,128,1,0.23009400069713593
1048576,128,2,0.14537132531404495
1048576,128,4,0.15748585015535355
1048576,256,1,0.22950052097439766
1048576,256,2,0.14572260901331902
1048576,256,4,0.15940484777092934
2097150,32,3,0.13925473261330854
2097150,64,3,0.1386279817251985
2097150,128,3,0.14460590488877761
2097150,256,3,0.1454445765681997
2097152,32,1,0.22166885435581207
2097152,32,2,0.1373659372329712
2097152,32,4,0.15164664387702942
2097152,64,1,0.22141221165657043
2097152,64,2,0.1370207443833351
2097152,64,4,0.15144026279449463
2097152,128,1,0.22867583855986595
2097152,128,2,0.24681977182626724
2097152,128,4,0.15745022520422935
2097152,256,1,0.2501189075410366
2097152,256,2,0.14429907873272896
2097152,256,4,0.15539701469242573
4194303,32,3,0.14961578538794168
4194303,64,3,0.15016065392748212
4194303,128,3,0.15672665659526744
4194303,256,3,0.15717116858420815
4194304,32,1,0.21751829981803894
4194304,32,2,0.13651496171951294
4194304,32,4,0.15242819488048553
4194304,64,1,0.21750880405306816
4194304,64,2,0.1406364031136036
4194304,64,4,0.15298720076680183
4194304,128,1,0.2192892860621214
4194304,128,2,0.16950788721442223
4194304,128,4,0.15765771456062794
4194304,256,1,0.22299741301685572
4194304,256,2,0.18292525224387646
4194304,256,4,0.15765284560620785
8388606,32,3,0.24305275289481948
8388606,64,3,0.22352511363330213
8388606,128,3,0.25589460647573625
8388606,256,3,0.2440250464439503
8388608,32,1,0.21550553664565086
8388608,32,2,0.2242550626397133
8388608,32,4,0.2310733161866665
8388608,64,1,0.2679163347929716
8388608,64,2,0.22757572680711746
8388608,64,4,0.2339054699987173
8388608,128,1,0.24375423230230808
8388608,128,2,0.27321425173431635
8388608,128,4,0.23195214942097664
8388608,256,1,0.23621442122384906
8388608,256,2,0.24920691223815084
8388608,256,4,0.2627720604650676
