Size,Repeat,Write per Kernel,Time (ns)
65536,64,4,0.15288662910461426
65536,128,1,0.11639070510864258
65536,128,2,0.09908533096313477
65536,128,4,0.13430535793304443
65536,256,1,0.11588525772094727
65536,256,2,0.0916096568107605
65536,256,4,0.1059768795967102
131070,32,3,0.06748493171587701
131070,64,3,0.09970125696192875
131070,128,3,0.08071784161135272
131070,256,3,0.06493482728694591
131072,32,1,0.07597112655639648
131072,32,2,0.07962822914123535
131072,32,4,0.07252144813537598
131072,64,1,0.08461916446685791
131072,64,2,0.08764255046844482
131072,64,4,0.09089767932891846
131072,128,1,0.0618511438369751
131072,128,2,0.07268369197845459
131072,128,4,0.087738037109375
131072,256,1,0.06305056810379028
131072,256,2,0.0715806782245636
131072,256,4,0.0816752016544342
262143,32,3,0.13827555475446607
262143,64,3,0.13841598383325132
262143,128,3,0.10016688172104539
262143,256,3,0.07504713851313978
262144,32,1,0.14787471294403076
262144,32,2,0.1443730592727661
262144,32,4,0.13065028190612793
262144,64,1,0.13408374786376953
262144,64,2,0.14658761024475098
262144,64,4,0.15232759714126587
262144,128,1,0.08773699402809143
262144,128,2,0.0931694507598877
262144,128,4,0.0983673632144928
262144,256,1,0.07621364295482635
262144,256,2,0.07430103421211243
262144,256,4,0.0766155868768692
524286,32,3,0.1118834114395578
524286,64,3,0.08818746471391568
524286,128,3,0.07193716490140878
524286,256,3,0.04603844561937569
524288,32,1,0.14284104108810425
524288,32,2,0.12040740251541138
524288,32,4,0.15063953399658203
524288,64,1,0.09335234761238098
524288,64,2,0.09367138147354126
524288,64,4,0.10596787929534912
524288,128,1,0.07018433511257172
524288,128,2,0.05960144102573395
524288,128,4,0.07022015750408173
524288,256,1,0.04336188733577728
524288,256,2,0.04955924302339554
524288,256,4,0.0494656041264534
1048575,32,3,0.09765410795603557
1048575,64,3,0.05959203561976969
1048575,128,3,0.04057915653386739
1048575,256,3,0.032608715250458956
1048576,32,1,0.08844703435897827
1048576,32,2,0.09105807542800903
1048576,32,4,0.08913171291351318
1048576,64,1,0.06328490376472473
1048576,64,2,0.057480648159980774
1048576,64,4,0.06630581617355347
1048576,128,1,0.04080595821142197
1048576,128,2,0.04140215367078781
1048576,128,4,0.04422122985124588
1048576,256,1,0.031721435487270355
1048576,256,2,0.03317474201321602
1048576,256,4,0.03214583918452263
2097150,32,3,0.05771478554228358
2097150,64,3,0.04359250947714756
2097150,128,3,0.030290587821567364
2097150,256,3,0.025491504094843
2097152,32,1,0.06680652499198914
2097152,32,2,0.053218066692352295
2097152,32,4,0.06418514251708984
2097152,64,1,0.03851161152124405
2097152,64,2,0.03964538872241974
2097152,64,4,0.04291847348213196
2097152,128,1,0.031706079840660095
2097152,128,2,0.03032834082841873
2097152,128,4,0.03238536790013313
2097152,256,1,0.02553018182516098
2097152,256,2,0.024958664551377296
2097152,256,4,0.027544233947992325
4194303,32,3,0.033644550119531186
4194303,64,3,0.02656144537006506
4194303,128,3,0.02182186542674671
4194303,256,3,0.020935718304984165
4194304,32,1,0.03505804389715195
4194304,32,2,0.0338953360915184
4194304,32,4,0.03390263766050339
4194304,64,1,0.02626815065741539
4194304,64,2,0.02579737827181816
4194304,64,4,0.02761559560894966
4194304,128,1,0.02183593064546585
4194304,128,2,0.022760311141610146
4194304,128,4,0.02418636716902256
4194304,256,1,0.02092548366636038
4194304,256,2,0.02067124005407095
4194304,256,4,0.022730263881385326
8388606,32,3,0.02456445460068097
8388606,64,3,0.02160739855048622
8388606,128,3,0.020170438255772173
8388606,256,3,0.019509871485202668
8388608,32,1,0.024527445435523987
8388608,32,2,0.02765500918030739
8388608,32,4,0.02612955868244171
8388608,64,1,0.02165156789124012
8388608,64,2,0.020935261622071266
8388608,64,4,0.023344198241829872
8388608,128,1,0.02011959534138441
8388608,128,2,0.020042935386300087
8388608,128,4,0.022061752155423164
8388608,256,1,0.019252434372901917
8388608,256,2,0.019289650954306126
8388608,256,4,0.0210448638536036
