Size,Repeat,Write per Kernel,Time (ns)
32768,128,2,0.6253054141998291
32768,128,4,0.636183500289917
32768,256,1,0.6204202175140381
32768,256,2,0.6282111406326294
32768,256,4,0.6400566101074219
65535,32,3,0.3623068780041199
65535,64,3,0.3701452468146792
65535,128,3,0.3854200045777066
65535,256,3,1.33628088759823
65536,32,1,0.45647287368774414
65536,32,2,0.37914562225341797
65536,32,4,0.35854101181030273
65536,64,1,0.44310474395751953
65536,64,2,0.3742351531982422
65536,64,4,0.36667871475219727
65536,128,1,0.43575119972229004
65536,128,2,0.3515714406967163
65536,128,4,0.4386821985244751
65536,256,1,0.43143004179000854
65536,256,2,0.3523925542831421
65536,256,4,0.3414831757545471
131070,32,3,0.29133740558480203
131070,64,3,0.2852056630045014
131070,128,3,0.28252907558937973
131070,256,3,0.2854099312390326
131072,32,1,0.39432668685913086
131072,32,2,2.0979039669036865
131072,32,4,0.28905582427978516
131072,64,1,0.3910560607910156
131072,64,2,0.30322813987731934
131072,64,4,0.28671741485595703
131072,128,1,1.7961724996566772
131072,128,2,0.2999330759048462
131072,128,4,0.28199630975723267
131072,256,1,0.3839949667453766
131072,256,2,0.29809626936912537
131072,256,4,0.2777041792869568
262143,32,3,0.212490296326814
262143,64,3,0.20915570175438597
262143,128,3,0.2075660696165833
262143,256,3,0.20692774613951165
262144,32,1,0.3079550266265869
262144,32,2,0.22086822986602783
262144,32,4,0.21530234813690186
262144,64,1,0.3049885630607605
262144,64,2,0.22008401155471802
262144,64,4,0.21157950162887573
262144,128,1,0.3140357434749603
262144,128,2,0.21665498614311218
262144,128,4,0.21095284819602966
262144,256,1,0.30280259251594543
262144,256,2,0.2159213274717331
262144,256,4,0.4538908898830414
524286,32,3,0.17342353457845527
524286,64,3,0.17182704788035538
524286,128,3,0.17100630369206885
524286,256,3,0.17373476141838615
524288,32,1,0.26629698276519775
524288,32,2,0.1767638921737671
524288,32,4,0.18076926469802856
524288,64,1,0.2637961506843567
524288,64,2,0.17538639903068542
524288,64,4,0.17953330278396606
524288,128,1,0.27611885964870453
524288,128,2,0.1743711233139038
524288,128,4,0.18332333862781525
524288,256,1,0.26398469507694244
524288,256,2,0.39824336022138596
524288,256,4,0.17822257429361343
1048575,32,3,0.1566654447702835
1048575,64,3,0.154963954056696
1048575,128,3,0.16115889421357557
1048575,256,3,0.1611635471055957
1048576,32,1,0.2447313666343689
1048576,32,2,0.15479245781898499
1048576,32,4,0.16454023122787476
1048576,64,1,0.24286054074764252
1048576,64,2,0.15366218984127045
1048576,64,4,0.1636171191930771
1048576,128,1,0.25731661170721054
1048576,128,2,0.15361305326223373
1048576,128,4,0.5029720962047577
1048576,256,1,0.2460705265402794
1048576,256,2,0.15720870345830917
1048576,256,4,0.16361945122480392
2097150,32,3,0.17510755668407124
2097150,64,3,0.16799246149536276
2097150,128,3,0.17532739745011086
2097150,256,3,0.17955486650036956
2097152,32,1,0.23501086235046387
2097152,32,2,0.16818466782569885
2097152,32,4,0.17748746275901794
