Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
1048576,131072,6,2,0,1.02744,5.34216,4.72233,0.128036,1.1767e-5,3.05176e-5,3.05115e-5,0.000444806
1048576,131072,6,2,32768,1.02638,5.5619,4.71685,0.126098,9.52312e-6,3.05176e-5,3.05116e-5,0.000437648
1048576,131072,8,8,0,1.5162,17.2646,6.9643,0.137891,0.00146331,3.05176e-5,5.12414e-6,6.88054e-5
1048576,131072,8,8,32768,1.3737,17.2579,6.31274,0.138211,9.67938e-5,3.05176e-5,2.15834e-7,2.59932e-6
1048576,131072,12,4,0,2.04482,9.42939,9.39638,0.135404,5.1711e-5,3.05176e-5,3.05134e-5,0.000540688
1048576,131072,12,4,32768,2.05902,9.65244,9.46122,0.130945,0.000196308,3.05176e-5,3.0512e-5,0.000539535
2097152,65536,1,3,0,0.514923,7.25314,2.36649,0.135902,0.000143796,6.10352e-5,8.73328e-11,3.14398e-9
2097152,65536,1,3,32768,0.515553,7.254,2.36949,0.135462,0.000161942,6.10352e-5,8.73328e-11,3.23131e-9
2097152,65536,2,2,0,0.356933,5.25323,1.64048,0.130957,1.78535e-5,6.10352e-5,1.9162e-7,1.22271e-6
2097152,65536,2,2,32768,0.358779,5.25729,1.64882,0.130766,2.62929e-5,6.10352e-5,3.48489e-7,1.86387e-6
2097152,65536,2,6,0,1.01926,13.2531,4.68449,0.136025,0.000562368,6.10352e-5,1.74794e-10,5.76819e-9
2097152,65536,2,6,32768,1.02003,13.254,4.68803,0.136621,0.000308278,6.10352e-5,0,0
2097152,65536,3,1,0,0.524004,3.2968,2.4082,0.12,7.34478e-6,6.10352e-5,6.09349e-5,0.000488726
2097152,65536,3,1,32768,0.524872,3.73296,2.41204,0.11018,7.42215e-6,6.10352e-5,6.08929e-5,0.000426486
2097152,65536,4,4,0,0.692944,9.25325,3.18464,0.136054,5.42188e-5,6.10352e-5,1.56229e-7,1.25321e-6
