Size (B),Block Size (B),Write Chn,Read Chn,Local Buffer Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
1048576,32768,2,6,0,1.02462,5.4815,4.70569,0.147319,4.349e-6,0.00012207,0.000121931,0.00105036
1048576,32768,3,1,0,0.527563,7.38144,2.42294,0.148663,1.67011e-5,0.00012207,1.74666e-10,6.28796e-9
1048576,32768,4,4,0,0.698241,9.38161,3.20598,0.148904,3.2825e-5,0.00012207,3.44357e-7,2.06009e-6
1048576,32768,4,12,0,2.03806,9.57329,9.36019,0.149804,1.58758e-5,0.00012207,0.000121978,0.001414
1048576,32768,6,2,0,1.03271,13.3816,4.74205,0.148649,0.000126658,0.00012207,1.74666e-10,7.68529e-9
1048576,32768,8,8,0,1.37408,17.382,6.31011,0.148642,0.000105009,0.00012207,5.04311e-7,3.59095e-6
1048576,32768,12,4,0,2.04631,25.3821,9.39849,0.148576,0.000271441,0.00012207,3.49587e-10,1.57314e-8
1048576,65536,1,3,0,0.516009,3.42676,2.36997,0.142188,1.86394e-6,6.10352e-5,6.09146e-5,0.000516765
1048576,65536,1,3,32768,0.516161,3.7392,2.37039,0.144289,4.41083e-6,6.10352e-5,6.09034e-5,0.000465847
1048576,65536,2,2,0,0.358832,5.37842,1.64802,0.144446,8.87975e-6,6.10352e-5,2.94065e-7,2.01818e-6
1048576,65536,2,2,32768,0.358031,5.37935,1.64446,0.144005,7.34243e-6,6.10352e-5,4.30737e-8,2.39699e-7
1048576,65536,2,6,0,1.02527,5.47313,4.70753,0.144934,7.62992e-6,6.10352e-5,6.0974e-5,0.000703214
1048576,65536,2,6,32768,1.02209,5.78728,4.69424,0.145255,1.07739e-5,6.10352e-5,6.09833e-5,0.000678682
1048576,65536,3,1,0,0.525877,7.37828,2.41525,0.146561,1.99076e-5,6.10352e-5,1.74666e-10,6.02596e-9
1048576,65536,3,1,32768,0.525262,7.37908,2.41255,0.146514,1.82209e-5,6.10352e-5,1.74666e-10,6.20063e-9
1048576,65536,4,4,0,0.694619,9.37839,3.19004,0.146563,3.33764e-5,6.10352e-5,7.18283e-8,5.68572e-7
1048576,65536,4,4,32768,0.696754,9.38135,3.19984,0.146681,3.0102e-5,6.10352e-5,3.32366e-7,2.65555e-6
1048576,65536,4,12,0,2.03449,9.56231,9.34226,0.147116,1.60422e-5,6.10352e-5,6.10093e-5,0.000893863
1048576,65536,4,12,32768,2.0342,9.87743,9.34157,0.146783,1.93304e-5,6.10352e-5,6.101e-5,0.000880604
1048576,65536,6,2,0,1.03093,13.3785,4.7343,0.146968,0.000104667,6.10352e-5,3.49331e-10,1.25759e-8
1048576,65536,6,2,32768,1.03339,13.3792,4.74557,0.14698,7.21793e-5,6.10352e-5,1.74666e-10,7.68529e-9
1048576,65536,8,8,0,1.37008,17.3788,6.29301,0.146408,0.000107479,6.10352e-5,1.67638e-8,1.8836e-7
1048576,65536,8,8,32768,1.37233,17.3807,6.30315,0.146541,0.000106356,6.10352e-5,1.51107e-7,1.55717e-6
1048576,65536,12,4,0,2.04544,25.3792,9.39413,0.146711,0.000315226,6.10352e-5,6.99175e-10,2.62191e-8
1048576,65536,12,4,32768,2.04591,25.38,9.39686,0.146842,0.00023889,6.10352e-5,3.49587e-10,1.6081e-8
1048576,131072,1,3,0,0.515585,3.42277,2.36784,0.140934,2.41012e-6,3.05176e-5,3.04828e-5,0.0003476
