Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
1024,1,512,1,10.836832046508789,14.641134262084961,14.083259582519531
1024,2,128,0,16.12755584716797,19.96393585205078,20.11144256591797
1024,2,128,1,10.810104370117188,15.401893615722656,15.111412048339844
1024,2,256,0,15.765338897705078,19.862220764160156,19.78853988647461
1024,2,256,1,11.325607299804688,14.699256896972656,14.280139923095703
1024,2,512,0,15.853479385375977,19.679271697998047,19.770954132080078
1024,2,512,1,10.744937896728516,14.172574996948242,13.676868438720703
1024,4,128,0,16.09435272216797,23.279006958007812,23.54180145263672
1024,4,128,1,10.892036437988281,15.844024658203125,15.183235168457031
1024,4,256,0,16.111942291259766,19.631603240966797,19.894119262695312
1024,4,256,1,11.193107604980469,14.602760314941406,14.236213684082031
1024,4,512,0,17.069652557373047,19.71242332458496,19.686880111694336
1024,4,512,1,10.662137985229492,13.978870391845703,14.269525527954102
1024,8,128,0,15.886215209960938,19.558921813964844,20.06407928466797
1024,8,128,1,11.043418884277344,15.77130126953125,15.376502990722656
1024,8,256,0,15.887035369873047,19.607707977294922,19.751644134521484
1024,8,256,1,11.305850982666016,14.617546081542969,14.435615539550781
1024,8,512,0,105.21312522888184,48.283607482910156,19.87059783935547
1024,8,512,1,10.699792861938477,13.94487190246582,13.848550796508789
2048,1,64,0,28.557662963867188,10.3182373046875,10.202804565429688
2048,1,64,1,6.045326232910156,8.731163024902344,8.270011901855469
2048,1,128,0,8.822341918945312,10.912979125976562,10.947479248046875
2048,1,128,1,5.700038909912109,8.269577026367188,8.046390533447266
2048,1,256,0,8.077892303466797,10.026676177978516,10.07105827331543
2048,1,256,1,6.292951583862305,7.823955535888672,8.065204620361328
2048,2,64,0,8.111000061035156,10.289939880371094,10.012298583984375
2048,2,64,1,5.9576873779296875,9.001571655273438,8.631637573242188
2048,2,128,0,8.818466186523438,11.096874237060547,11.00628662109375
2048,2,128,1,6.105411529541016,8.565448760986328,7.731098175048828
2048,2,256,0,9.10357666015625,13.004293441772461,12.909439086914062
2048,2,256,1,6.392457962036133,8.35634994506836,8.076345443725586
2048,4,64,0,9.029861450195312,11.08184814453125,11.106658935546875
2048,4,64,1,5.984275817871094,9.060302734375,7.511054992675781
2048,4,128,0,8.868682861328125,11.17232894897461,10.938129425048828
2048,4,128,1,6.125801086425781,7.935214996337891,7.298728942871094
2048,4,256,0,8.950468063354492,11.284355163574219,10.95383071899414
2048,4,256,1,6.2800140380859375,8.31781005859375,7.995624542236328
2048,8,64,0,10.24298095703125,11.947479248046875,11.548583984375
2048,8,64,1,6.2956390380859375,9.389549255371094,8.43560791015625
2048,8,128,0,8.593612670898438,9.954647064208984,9.964675903320312
2048,8,128,1,5.678764343261719,8.425556182861328,7.709785461425781
2048,8,256,0,7.81610107421875,9.790643692016602,9.879636764526367
2048,8,256,1,6.312089920043945,8.694446563720703,8.067371368408203
4096,1,32,0,4.666831970214844,5.647125244140625,5.746726989746094
4096,1,32,1,3.6310348510742188,4.070404052734375,5.685699462890625
4096,1,64,0,11.897506713867188,6.104610443115234,5.878936767578125
4096,1,64,1,3.2673912048339844,4.691734313964844,4.050785064697266
4096,1,128,0,6.316913604736328,8.352535247802734,7.772863388061523
4096,1,128,1,3.3339366912841797,3.8638362884521484,3.9246349334716797
4096,2,32,0,6.427528381347656,6.757240295410156,6.5859222412109375
4096,2,32,1,4.4104766845703125,4.154289245605469,4.2716064453125
4096,2,64,0,5.404186248779297,6.569271087646484,6.43231201171875
4096,2,64,1,3.0178184509277344,3.8337783813476562,4.333686828613281
4096,2,128,0,4.485589981079102,5.53318977355957,5.520503997802734
4096,2,128,1,3.076396942138672,4.1528472900390625,4.275609970092773
4096,4,32,0,4.817405700683594,5.834831237792969,6.1752166748046875
4096,4,32,1,6.672599792480469,10.213424682617188,9.374473571777344
4096,4,64,0,6.751056671142578,8.862018585205078,10.11441421508789
4096,4,64,1,2.9575653076171875,3.8889541625976562,4.3259735107421875
4096,4,128,0,10.774984359741211,37.190507888793945,8.051513671875
4096,4,128,1,3.1913070678710938,3.853750228881836,3.7429065704345703
4096,8,32,0,4.3502197265625,4.98333740234375,5.092247009277344
4096,8,32,1,3.2187347412109375,4.423347473144531,5.3424530029296875
4096,8,64,0,4.085517883300781,5.088047027587891,5.081432342529297
4096,8,64,1,3.1906509399414062,5.17095947265625,4.406002044677734
4096,8,128,0,4.428552627563477,5.484682083129883,5.462270736694336
4096,8,128,1,9.41756820678711,5.091983795166016,33.921648025512695
8192,1,16,0,2.4873733520507812,3.0171966552734375,2.7641754150390625
8192,1,16,1,1.9894561767578125,2.3160858154296875,2.2371063232421875
8192,1,32,0,2.3138198852539062,2.762664794921875,2.9544410705566406
8192,1,32,1,1.8111534118652344,2.104339599609375,2.1016998291015625
8192,1,64,0,2.2628211975097656,2.805583953857422,2.8645191192626953
8192,1,64,1,1.5037345886230469,1.9605903625488281,1.9064617156982422
8192,2,16,0,2.4747772216796875,42.22956848144531,2.85552978515625
8192,2,16,1,2.0287094116210938,2.4765472412109375,2.2338714599609375
8192,2,32,0,2.4247970581054688,2.8141021728515625,2.7384910583496094
8192,2,32,1,1.7812156677246094,2.2944107055664062,2.197002410888672
8192,2,64,0,3.2291736602783203,3.925403594970703,4.294300079345703
8192,2,64,1,1.6593513488769531,2.5792579650878906,2.2338695526123047
8192,4,16,0,2.4012222290039062,2.8180160522460938,2.7407913208007812
8192,4,16,1,2.0368499755859375,2.6117782592773438,2.3254623413085938
8192,4,32,0,2.3055038452148438,2.82037353515625,2.7402687072753906
8192,4,32,1,1.7522354125976562,3.0111656188964844,2.247589111328125
8192,4,64,0,4.24262809753418,2.446887969970703,2.4879226684570312
8192,4,64,1,1.555582046508789,2.2606143951416016,2.1252403259277344
8192,8,16,0,2.212982177734375,2.5709228515625,2.6277694702148438
8192,8,16,1,1.949127197265625,2.9493942260742188,2.3423309326171875
8192,8,32,0,2.7025718688964844,3.1750335693359375,3.2443504333496094
8192,8,32,1,1.8431968688964844,2.8692398071289062,2.8267288208007812
8192,8,64,0,2.342975616455078,2.72894287109375,2.787015914916992
8192,8,64,1,1.6760940551757812,3.017070770263672,2.3238868713378906
16384,1,8,0,1.3482818603515625,1.2953567504882812,1.4443740844726562
16384,1,8,1,1.2693939208984375,1.487945556640625,1.348297119140625
16384,1,16,0,1.550567626953125,1.4964485168457031,65.5875473022461
16384,1,16,1,1.0610504150390625,1.3557243347167969,1.3212852478027344
16384,1,32,0,1.0500240325927734,1.2538070678710938,1.2869014739990234
16384,1,32,1,0.8776931762695312,1.1349773406982422,1.0737228393554688
16384,2,8,0,1.8225936889648438,1.8590164184570312,2.0776901245117188
16384,2,8,1,1.2203826904296875,1.4125747680664062,1.2487411499023438
16384,2,16,0,1.6627197265625,1.8722686767578125,2.0003700256347656
16384,2,16,1,1.0168190002441406,1.2838973999023438,1.1192893981933594
16384,2,32,0,1.3952178955078125,1.621368408203125,1.6722068786621094
16384,2,32,1,0.9621486663818359,1.3137874603271484,1.1796245574951172
16384,4,8,0,1.3651809692382812,1.4243621826171875,1.3971328735351562
16384,4,8,1,1.195404052734375,1.6195220947265625,1.263885498046875
16384,4,16,0,1.2482681274414062,1.41387939453125,1.389801025390625
16384,4,16,1,1.0583229064941406,1.5634765625,1.2377777099609375
16384,4,32,0,1.220876693725586,1.3325138092041016,1.447723388671875
16384,4,32,1,0.9714107513427734,1.4909172058105469,1.4746627807617188
16384,8,8,0,1.5149459838867188,1.7072906494140625,1.4941940307617188
16384,8,8,1,1.2969818115234375,2.0666427612304688,1.4702987670898438
16384,8,16,0,1.2502403259277344,1.5499114990234375,1.2794036865234375
16384,8,16,1,0.9958381652832031,1.8444900512695312,1.2619743347167969
16384,8,32,0,1.1794414520263672,1.5037803649902344,1.3931636810302734
16384,8,32,1,0.8684005737304688,1.7555408477783203,1.4786567687988281
32768,1,4,0,0.9096908569335938,1.0859222412109375,0.9513473510742188
32768,1,4,1,1.0102081298828125,0.96044921875,0.8446884155273438
32768,1,8,0,0.8834953308105469,0.9163894653320312,0.9592704772949219
32768,1,8,1,0.6970138549804688,0.8959579467773438,0.7214469909667969
32768,1,16,0,0.6004791259765625,0.7282600402832031,0.7199687957763672
32768,1,16,1,0.5939464569091797,0.77728271484375,0.6754150390625
32768,2,4,0,0.8174057006835938,0.8330612182617188,0.9871292114257812
32768,2,4,1,0.8363265991210938,1.031890869140625,0.8439788818359375
32768,2,8,0,0.7416801452636719,0.8878555297851562,0.8230743408203125
32768,2,8,1,0.6358451843261719,0.8921318054199219,0.6875839233398438
32768,2,16,0,2.0883407592773438,2.308910369873047,1.8512382507324219
32768,2,16,1,0.59271240234375,0.8594894409179688,0.6894283294677734
32768,4,4,0,0.9406051635742188,1.0161895751953125,0.845550537109375
32768,4,4,1,0.89666748046875,1.23675537109375,0.9076309204101562
32768,4,8,0,0.7286911010742188,0.9056854248046875,0.7115325927734375
32768,4,8,1,0.68328857421875,1.0994682312011719,0.7842483520507812
32768,4,16,0,0.5856227874755859,0.8194160461425781,0.6410942077636719
32768,4,16,1,0.5509281158447266,0.996337890625,0.6875877380371094
32768,8,4,0,36.834075927734375,1.4252166748046875,0.7944717407226562
32768,8,4,1,0.92962646484375,1.7128753662109375,1.050323486328125
32768,8,8,0,0.7412872314453125,1.298919677734375,0.7348861694335938
32768,8,8,1,0.6959381103515625,1.4764556884765625,0.8843040466308594
32768,8,16,0,0.6502685546875,1.2253131866455078,0.7146110534667969
32768,8,16,1,0.5477848052978516,1.3457469940185547,0.7960090637207031
65536,1,32,0,0.3094472885131836,0.3706188201904297,0.36517333984375
65536,1,32,1,0.31604528427124023,0.4863767623901367,0.46148681640625
65536,1,64,0,0.2732858657836914,0.3617589473724365,0.3330562114715576
65536,1,64,1,0.2979297637939453,0.5213499069213867,0.40854525566101074
65536,1,128,0,0.25363218784332275,0.35636138916015625,0.31215834617614746
65536,1,128,1,0.29409801959991455,0.48839128017425537,0.36765360832214355
65536,2,32,0,0.2804908752441406,0.45994043350219727,0.34505224227905273
65536,2,32,1,0.31558895111083984,0.5690927505493164,0.4853239059448242
65536,2,64,0,0.32837486267089844,0.45308947563171387,0.3873765468597412
65536,2,64,1,0.2986884117126465,0.6087777614593506,0.40993547439575195
65536,2,128,0,0.27058351039886475,0.4471316337585449,0.3322802782058716
65536,2,128,1,0.30802929401397705,0.581134557723999,0.40385913848876953
65536,3,32,0,0.32036828994750977,0.5582408905029297,0.3759269714355469
65536,3,32,1,0.31886863708496094,0.6566309928894043,6.838562488555908
65536,3,64,0,0.30669283866882324,0.546593427658081,0.3530154228210449
65536,3,64,1,0.30195021629333496,0.7741720676422119,2.2526252269744873
65536,3,128,0,0.32229626178741455,0.5456932783126831,0.6511778831481934
65536,3,128,1,0.3124905824661255,0.6534441709518433,0.4381985664367676
65536,4,32,0,0.2922248840332031,0.6492853164672852,0.35665416717529297
65536,4,32,1,0.32186079025268555,0.7460074424743652,0.4569406509399414
65536,4,64,0,0.27504467964172363,0.6382491588592529,0.3286757469177246
65536,4,64,1,0.2832627296447754,0.76011061668396,0.418071985244751
65536,4,128,0,0.27160727977752686,0.6371301412582397,0.32502222061157227
65536,4,128,1,0.2823507785797119,0.72593092918396,0.4337886571884155
65536,6,32,0,0.39232587814331055,0.8418831825256348,0.5229125022888184
65536,6,32,1,0.3036012649536133,0.9133477210998535,0.5672473907470703
65536,6,64,0,0.27632951736450195,0.8279731273651123,0.3630800247192383
65536,6,64,1,0.30140185356140137,0.974163293838501,0.5407326221466064
65536,6,128,0,0.2638741731643677,0.8242157697677612,0.3557898998260498
65536,6,128,1,0.2945880889892578,0.9365750551223755,0.5171980857849121
65536,8,32,0,0.2818126678466797,1.0307574272155762,0.4218759536743164
65536,8,32,1,0.3242154121398926,1.1313085556030273,0.5681777000427246
65536,8,64,0,0.32260704040527344,1.0216591358184814,0.41872429847717285
65536,8,64,1,0.2983975410461426,1.1516847610473633,0.5879344940185547
65536,8,128,0,0.2931908369064331,1.0162421464920044,0.4116264581680298
65536,8,128,1,0.28988754749298096,1.1106817722320557,0.5577144622802734
65536,16,32,0,0.2867398262023926,1.7948331832885742,0.6435704231262207
65536,16,32,1,0.3151388168334961,1.856368064880371,0.8471283912658691
65536,16,64,0,0.2787449359893799,1.7843003273010254,0.6347284317016602
65536,16,64,1,0.3056480884552002,1.8940629959106445,0.7963848114013672
65536,16,128,0,0.26535773277282715,1.8184115886688232,0.6272815465927124
65536,16,128,1,0.302406907081604,1.8605021238327026,0.7371013164520264
65536,32,32,0,0.2821931838989258,3.336179256439209,1.0774435997009277
65536,32,32,1,0.3146529197692871,3.4226059913635254,1.2742643356323242
65536,32,64,0,0.36423778533935547,5.662333250045776,1.0929086208343506
65536,32,64,1,0.3048100471496582,5.5486674308776855,1.2366397380828857
65536,32,128,0,0.26469242572784424,3.436743974685669,1.062174677848816
65536,32,128,1,0.7139451503753662,4.278922080993652,1.2027755975723267
65536,64,32,0,0.2821512222290039,6.3972554206848145,1.9713401794433594
65536,64,32,1,0.31954193115234375,6.315350532531738,2.1284937858581543
65536,64,64,0,0.2687807083129883,6.378272771835327,1.9556379318237305
65536,64,64,1,0.29975032806396484,6.350264310836792,2.0726497173309326
65536,64,128,0,0.5237147808074951,11.88852345943451,1.9558638334274292
65536,64,128,1,0.2980715036392212,6.300344824790955,2.0330066680908203
131072,1,32,0,0.1584479808807373,0.30376386642456055,0.1885817050933838
131072,1,32,1,0.2017059326171875,0.34980249404907227,0.24831461906433105
131072,1,64,0,0.20916986465454102,0.3009359836578369,0.23015546798706055
