Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
2048,1,256,1,110.59419059753418,113.54557800292969,113.8946704864502
2048,2,64,0,98.61080169677734,101.23772430419922,102.50650787353516
2048,2,64,1,98.92808532714844,101.55426025390625,102.467529296875
2048,2,128,0,109.64682388305664,124.18185424804688,141.26141357421875
2048,2,128,1,120.30351638793945,148.3493537902832,122.64090728759766
2048,2,256,0,117.71042251586914,111.01166534423828,112.6471061706543
2048,2,256,1,113.49330520629883,132.70853233337402,111.57128143310547
2048,4,64,0,110.3733139038086,113.22364807128906,113.55181884765625
2048,4,64,1,110.35913848876953,113.5213623046875,113.57682800292969
2048,4,128,0,106.96182250976562,110.49728012084961,110.85723495483398
2048,4,128,1,110.2602424621582,114.21484756469727,114.12779998779297
2048,4,256,0,112.28244590759277,113.93176078796387,117.39765548706055
2048,4,256,1,125.55144119262695,117.05737113952637,113.43686103820801
2048,8,64,0,97.24691772460938,99.77489471435547,99.86229705810547
2048,8,64,1,114.99312591552734,113.8884506225586,113.7720718383789
2048,8,128,0,114.14915084838867,114.6046028137207,114.74315643310547
2048,8,128,1,99.77331924438477,102.47527313232422,102.88157653808594
2048,8,256,0,103.42800331115723,110.66728591918945,111.17657279968262
2048,8,256,1,124.31448554992676,104.68593978881836,102.33085823059082
4096,1,32,0,55.323326110839844,56.04901885986328,57.711204528808594
4096,1,32,1,53.51482391357422,54.57307434082031,55.100379943847656
4096,1,64,0,54.712581634521484,55.93369674682617,56.16645812988281
4096,1,64,1,55.62887954711914,76.3954086303711,64.66220474243164
4096,1,128,0,68.50767135620117,56.97141456604004,56.863807678222656
4096,1,128,1,54.042856216430664,55.18453788757324,55.17682456970215
4096,2,32,0,54.74607849121094,56.390220642089844,56.66694641113281
4096,2,32,1,53.933265686035156,54.64886474609375,55.92570495605469
4096,2,64,0,54.97581481933594,56.57284927368164,56.80089569091797
4096,2,64,1,54.884281158447266,57.06517791748047,57.00227737426758
4096,2,128,0,57.7723274230957,57.176395416259766,57.248374938964844
4096,2,128,1,57.38861274719238,55.836177825927734,55.69126510620117
4096,4,32,0,52.07683563232422,50.90766906738281,92.01617431640625
4096,4,32,1,54.87506866455078,56.73912811279297,56.563438415527344
4096,4,64,0,60.430660247802734,68.95622253417969,69.16810989379883
4096,4,64,1,55.58601379394531,57.22905349731445,57.48284149169922
4096,4,128,0,53.623687744140625,58.0179443359375,76.77351379394531
4096,4,128,1,55.30439567565918,63.034189224243164,76.0451431274414
4096,8,32,0,54.71369934082031,57.783973693847656,56.538917541503906
4096,8,32,1,50.37407684326172,51.669273376464844,51.3511962890625
4096,8,64,0,54.74319839477539,56.857391357421875,58.82646942138672
4096,8,64,1,73.74433517456055,57.52177429199219,57.34342956542969
4096,8,128,0,54.711124420166016,56.93113899230957,57.03482246398926
4096,8,128,1,55.18995475769043,57.177663803100586,60.6624870300293
8192,1,16,0,63.79490661621094,40.518524169921875,28.3450927734375
8192,1,16,1,27.95079803466797,28.766738891601562,28.61530303955078
8192,1,32,0,26.310806274414062,26.81350326538086,27.212352752685547
8192,1,32,1,27.643665313720703,28.25934600830078,28.319374084472656
8192,1,64,0,27.46085548400879,28.31348991394043,28.420875549316406
8192,1,64,1,26.889015197753906,27.657039642333984,27.635969161987305
8192,2,16,0,28.039588928222656,28.317649841308594,28.413597106933594
8192,2,16,1,31.37494659423828,33.306915283203125,28.335487365722656
8192,2,32,0,27.773120880126953,28.722450256347656,28.39297103881836
8192,2,32,1,27.76324462890625,28.639102935791016,28.62616729736328
8192,2,64,0,27.604604721069336,28.638168334960938,28.45774269104004
8192,2,64,1,26.75824737548828,27.549684524536133,27.562240600585938
8192,4,16,0,26.969161987304688,27.66309356689453,27.67852020263672
8192,4,16,1,28.916732788085938,28.383323669433594,28.16675567626953
8192,4,32,0,27.775283813476562,28.453289031982422,28.80221939086914
8192,4,32,1,27.621021270751953,28.88251495361328,28.694435119628906
8192,4,64,0,25.012861251831055,25.761951446533203,25.758949279785156
8192,4,64,1,27.222848892211914,25.850135803222656,25.890186309814453
8192,8,16,0,27.897872924804688,29.250328063964844,28.518211364746094
8192,8,16,1,27.913543701171875,29.03003692626953,29.548568725585938
8192,8,32,0,36.69956970214844,38.05237579345703,40.246185302734375
8192,8,32,1,26.979698181152344,29.087875366210938,29.555904388427734
8192,8,64,0,29.544422149658203,28.695594787597656,28.847627639770508
8192,8,64,1,28.24201774597168,28.768247604370117,28.96506118774414
16384,1,8,0,14.615432739257812,14.452232360839844,14.519989013671875
16384,1,8,1,14.086479187011719,14.280540466308594,14.890960693359375
16384,1,16,0,13.403148651123047,13.719440460205078,13.6541748046875
16384,1,16,1,13.535675048828125,13.857048034667969,13.844127655029297
16384,1,32,0,14.173351287841797,30.45929718017578,14.216133117675781
16384,1,32,1,12.350990295410156,12.377899169921875,12.496902465820312
16384,2,8,0,20.052734375,14.725067138671875,14.284141540527344
16384,2,8,1,12.7647705078125,12.540794372558594,12.853103637695312
16384,2,16,0,13.698837280273438,13.961620330810547,13.94942855834961
16384,2,16,1,13.830436706542969,14.357131958007812,14.522464752197266
16384,2,32,0,12.369087219238281,12.752670288085938,13.16409683227539
16384,2,32,1,13.337295532226562,13.711191177368164,13.800134658813477
16384,4,8,0,12.652153015136719,13.009315490722656,12.690681457519531
16384,4,8,1,12.934272766113281,13.206092834472656,13.137191772460938
16384,4,16,0,14.0006103515625,14.347030639648438,14.496726989746094
16384,4,16,1,13.949825286865234,14.51641845703125,14.539825439453125
16384,4,32,0,12.332555770874023,12.705392837524414,12.712608337402344
16384,4,32,1,13.865236282348633,14.503768920898438,14.466405868530273
16384,8,8,0,13.435218811035156,13.979850769042969,13.842536926269531
16384,8,8,1,17.152389526367188,18.72443389892578,14.69793701171875
16384,8,16,0,12.747299194335938,13.313190460205078,13.12661361694336
16384,8,16,1,13.554546356201172,21.569198608398438,15.745952606201172
16384,8,32,0,13.493602752685547,14.325969696044922,14.262044906616211
16384,8,32,1,13.900140762329102,14.59248161315918,14.688423156738281
32768,1,4,0,8.622833251953125,7.767845153808594,7.342521667480469
32768,1,4,1,7.199989318847656,7.123237609863281,7.172615051269531
32768,1,8,0,7.117076873779297,7.301357269287109,7.257957458496094
32768,1,8,1,6.827545166015625,7.169464111328125,7.276790618896484
32768,1,16,0,7.029081344604492,7.204851150512695,7.2044219970703125
32768,1,16,1,6.979084014892578,7.169364929199219,7.167585372924805
32768,2,4,0,7.7518157958984375,7.5408172607421875,7.3539886474609375
32768,2,4,1,7.5765228271484375,7.222114562988281,7.266273498535156
32768,2,8,0,7.184417724609375,7.362827301025391,7.280841827392578
32768,2,8,1,10.63082504272461,7.419654846191406,7.28302001953125
32768,2,16,0,6.733015060424805,6.908740997314453,7.031795501708984
32768,2,16,1,6.7723236083984375,7.115724563598633,7.101240158081055
32768,4,4,0,7.238761901855469,7.4610137939453125,7.591682434082031
32768,4,4,1,7.4530487060546875,7.643196105957031,7.489448547363281
32768,4,8,0,7.643196105957031,8.638774871826172,7.620319366455078
32768,4,8,1,7.183887481689453,7.723426818847656,7.444530487060547
32768,4,16,0,6.824348449707031,6.799955368041992,6.59693717956543
32768,4,16,1,6.35052490234375,6.708385467529297,6.651914596557617
32768,8,4,0,7.544853210449219,8.169769287109375,7.899833679199219
32768,8,4,1,7.401802062988281,8.101486206054688,7.959037780761719
32768,8,8,0,7.193828582763672,7.711738586425781,7.758491516113281
32768,8,8,1,6.984474182128906,7.861377716064453,7.7508544921875
32768,8,16,0,6.818166732788086,7.482757568359375,7.441354751586914
32768,8,16,1,6.816188812255859,7.569698333740234,7.40966796875
65536,1,32,0,3.1179275512695312,3.231321334838867,3.2388744354248047
65536,1,32,1,3.3449244499206543,3.4412999153137207,3.420442581176758
65536,1,64,0,3.611283540725708,3.666635036468506,3.6188571453094482
65536,1,64,1,3.3902053833007812,3.5253396034240723,3.5377814769744873
65536,1,128,0,3.0260955095291138,3.1730319261550903,3.2125604152679443
65536,1,128,1,4.576542258262634,5.559857726097107,5.027354836463928
65536,2,32,0,3.345703601837158,3.547255039215088,3.5361404418945312
65536,2,32,1,3.664696216583252,3.8011937141418457,3.74546480178833
65536,2,64,0,4.331605672836304,3.6887073516845703,3.670628547668457
65536,2,64,1,3.360694646835327,3.570061206817627,3.5586202144622803
65536,2,128,0,3.44627046585083,3.6513041257858276,3.6538257598876953
65536,2,128,1,3.3766632080078125,3.595431327819824,3.5605547428131104
65536,3,32,0,3.4605860710144043,3.7318568229675293,3.814682960510254
65536,3,32,1,3.3774704933166504,3.6534738540649414,3.6284260749816895
65536,3,64,0,3.462672710418701,3.7395708560943604,3.7034242153167725
65536,3,64,1,3.4762766361236572,3.7463128566741943,3.7228002548217773
65536,3,128,0,3.4390039443969727,3.7534416913986206,5.740704298019409
65536,3,128,1,3.4686580896377563,3.734444499015808,4.709013938903809
65536,4,32,0,3.4782443046569824,3.82218074798584,3.774557590484619
65536,4,32,1,3.4825973510742188,3.82944393157959,3.7681193351745605
65536,4,64,0,3.4578254222869873,3.797071695327759,3.67284893989563
65536,4,64,1,3.146336793899536,3.435002565383911,4.649232864379883
65536,4,128,0,4.049890518188477,5.120728611946106,3.6671142578125
65536,4,128,1,5.59445333480835,3.8007214069366455,3.79538893699646
65536,6,32,0,3.458855628967285,3.9591622352600098,3.879312038421631
65536,6,32,1,3.4790186882019043,3.966458797454834,3.905329704284668
65536,6,64,0,3.4576027393341064,3.9365322589874268,3.8218603134155273
