Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
16,1,131072,0,15163.800023555756,15739.656895160675,15766.895160675049
16,1,131072,1,15457.994064807892,15844.50833272934,15819.31639623642
32,1,1,0,10433.15625,8501.5625,10384.65625
32,1,1,1,10633.28125,10474.03125,10671.40625
32,1,2,0,9554.6875,8915.34375,8001.25
32,1,2,1,9383.546875,9509.390625,8298.921875
32,1,4,0,8120.796875,7752.65625,7707.109375
32,1,4,1,8056.3671875,8077.125,8292.75
32,1,8,0,7532.18359375,7639.33984375,7610.57421875
32,1,8,1,7399.15625,7468.734375,7602.39453125
32,1,16,0,7597.73046875,7801.775390625,7776.404296875
32,1,16,1,7343.728515625,7450.810546875,7456.125
32,1,32768,0,7581.439521789551,7908.754526138306,7905.868554115295
32,1,32768,1,7732.720976829529,7952.505997657776,9938.123768806458
32,1,65536,0,7569.699916362762,7847.597757816315,7878.684055328369
32,1,65536,1,7761.17368221283,7995.986612319946,7987.8227281570435
32,1,131072,0,7574.674546003342,7859.791381597519,7887.4628093242645
32,1,131072,1,7851.289222002029,10267.586788654327,9123.968160629272
64,1,1,0,5746.34375,4470.046875,5276.09375
64,1,1,1,5281.609375,5133.984375,4342.109375
64,1,2,0,4634.3203125,4596.4375,4499.140625
64,1,2,1,3992.5625,4656.2265625,4119.609375
64,1,4,0,4041.16796875,3902.37890625,3927.96484375
64,1,4,1,4124.9296875,3893.98046875,3831.4296875
64,1,8,0,3808,3918.60546875,3965.333984375
64,1,8,1,3814.19921875,3924.228515625,3885.40625
64,1,16,0,3730.9580078125,3742.2724609375,3737.2724609375
64,1,16,1,3702.962890625,3849.2978515625,3798.9013671875
64,1,32768,0,3771.7892870903015,3928.023914337158,3929.0753469467163
64,1,32768,1,3856.2560992240906,3981.664578437805,3978.585913658142
64,1,65536,0,3835.1257226467133,4005.6409759521484,4014.752188682556
64,1,65536,1,3891.193904399872,4324.052963256836,4040.4405941963196
64,1,131072,0,4187.298273921013,4031.630695581436,4171.082790136337
64,1,131072,1,3868.247193455696,3971.3303854465485,3966.6821039915085
128,1,1,0,2227.265625,2033.2421875,2434.0703125
128,1,1,1,2684.0625,2180.0390625,2611.7109375
128,1,2,0,2333.81640625,2330.87109375,2018.43359375
128,1,2,1,2224.8125,2327.66796875,2113.4375
128,1,4,0,2101.08203125,2023.30078125,1980.611328125
128,1,4,1,1951.01953125,1981.173828125,1987.31640625
128,1,8,0,1887.2080078125,1895.6904296875,1867.33984375
128,1,8,1,1937.376953125,1944.654296875,1938.6748046875
128,1,16,0,1855.17236328125,1893.162109375,1888.7177734375
128,1,16,1,1926.423828125,1931.37890625,1952.7841796875
128,1,32768,0,1910.110676765442,1996.0392413139343,1992.1716284751892
128,1,32768,1,1935.3693044185638,1998.975775718689,2002.196653842926
