Size,Eval per Kernel,Repeat,Out of order,Dummy Time (ns),Compute Time (ns),Native Compute Time (ns)
256,8,1024,0,13.56219482421875,16.348899841308594,15.818279266357422
256,8,1024,1,13.510967254638672,16.120136260986328,15.86690902709961
256,8,2048,0,13.195598602294922,16.082597732543945,15.758829116821289
256,8,2048,1,13.056085586547852,17.40715217590332,18.36509132385254
512,1,256,0,6.8098907470703125,7.972900390625,7.9209747314453125
512,1,256,1,6.663764953613281,7.909576416015625,7.885658264160156
512,1,512,0,6.685451507568359,8.009086608886719,7.968330383300781
512,1,512,1,6.7091064453125,7.980472564697266,7.8853302001953125
512,1,1024,0,6.631103515625,7.982891082763672,7.915872573852539
512,1,1024,1,6.673402786254883,8.078300476074219,8.004261016845703
512,2,256,0,8.363945007324219,9.711822509765625,9.653106689453125
512,2,256,1,6.593536376953125,7.9610595703125,7.823631286621094
512,2,512,0,6.7745819091796875,8.029678344726562,7.989471435546875
512,2,512,1,6.630847930908203,8.151679992675781,7.756870269775391
512,2,1024,0,6.766630172729492,7.918037414550781,7.872539520263672
512,2,1024,1,6.781467437744141,8.020368576049805,10.615591049194336
512,4,256,0,6.8282012939453125,8.112503051757812,8.132522583007812
512,4,256,1,6.6549835205078125,7.8817291259765625,7.8675994873046875
512,4,512,0,6.769687652587891,8.033981323242188,8.077224731445312
512,4,512,1,6.6365814208984375,7.887882232666016,7.85748291015625
512,4,1024,0,6.675271987915039,7.969142913818359,7.955471038818359
512,4,1024,1,6.63746452331543,7.964408874511719,8.098346710205078
512,8,256,0,6.7395477294921875,8.192916870117188,7.991493225097656
512,8,256,1,6.8330078125,8.264801025390625,8.104423522949219
512,8,512,0,6.677959442138672,8.253185272216797,7.865619659423828
512,8,512,1,6.610137939453125,8.349140167236328,7.7940216064453125
512,8,1024,0,6.764127731323242,8.06424331665039,7.914466857910156
512,8,1024,1,6.660923004150391,8.092056274414062,7.900350570678711
1024,1,128,0,3.47259521484375,4.067436218261719,4.0864105224609375
1024,1,128,1,3.5668411254882812,4.148475646972656,4.2020721435546875
1024,1,256,0,3.3483657836914062,4.080936431884766,3.9226760864257812
1024,1,256,1,3.3914337158203125,4.036064147949219,3.9737396240234375
1024,1,512,0,3.3098392486572266,4.014066696166992,3.9725685119628906
1024,1,512,1,3.329069137573242,3.9557723999023438,3.935892105102539
1024,2,128,0,3.4009933471679688,3.9704513549804688,3.9583816528320312
1024,2,128,1,3.5078277587890625,4.038658142089844,4.004875183105469
1024,2,256,0,3.334552764892578,4.0195159912109375,3.93609619140625
1024,2,256,1,3.538738250732422,3.9922561645507812,3.9664535522460938
1024,2,512,0,3.2999401092529297,3.888620376586914,3.898469924926758
1024,2,512,1,3.25970458984375,3.9381160736083984,3.893665313720703
1024,4,128,0,3.349761962890625,3.9767684936523438,3.9613113403320312
1024,4,128,1,3.4424896240234375,4.0076446533203125,3.9698028564453125
1024,4,256,0,3.355865478515625,3.9981346130371094,3.9431686401367188
1024,4,256,1,3.368122100830078,3.979900360107422,3.9358482360839844
1024,4,512,0,3.3833560943603516,4.013027191162109,4.02508544921875
1024,4,512,1,3.412078857421875,4.008916854858398,3.965902328491211
1024,8,128,0,3.4304122924804688,4.172203063964844,3.9645538330078125
1024,8,128,1,3.3844680786132812,4.3332061767578125,3.9730606079101562
1024,8,256,0,3.3839340209960938,4.149669647216797,4.2728424072265625
1024,8,256,1,3.312030792236328,4.193798065185547,3.9693145751953125
1024,8,512,0,3.305553436279297,4.136758804321289,3.9471378326416016
1024,8,512,1,3.3777236938476562,4.026777267456055,3.968311309814453
2048,1,64,0,1.7099990844726562,2.0441970825195312,2.05023193359375
2048,1,64,1,1.73724365234375,2.0602340698242188,2.0383224487304688
2048,1,128,0,1.7106246948242188,1.9920082092285156,2.0123672485351562
2048,1,128,1,1.6897201538085938,1.9978446960449219,1.9922256469726562
2048,1,256,0,1.6613578796386719,1.9988040924072266,1.9962139129638672
2048,1,256,1,1.6600513458251953,1.978118896484375,1.9724349975585938
2048,2,64,0,1.7275009155273438,2.0536041259765625,2.0423431396484375
2048,2,64,1,1.7029876708984375,2.00189208984375,1.9861602783203125
2048,2,128,0,1.6844215393066406,1.9824333190917969,1.9832305908203125
2048,2,128,1,1.690673828125,2.0234413146972656,2.0032577514648438
2048,2,256,0,1.663106918334961,2.004037857055664,1.948862075805664
2048,2,256,1,1.6880550384521484,2.0388946533203125,1.9712085723876953
2048,4,64,0,1.7229690551757812,2.0622024536132812,2.021240234375
2048,4,64,1,1.7151107788085938,2.0698471069335938,2.03302001953125
2048,4,128,0,1.6845512390136719,1.978424072265625,1.9639854431152344
