Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
7,131072,0.0597798,0.500244,0.214392,9.38394e-5,2.16432e-5
7,524288,0.143257,0.500061,0.513648,0.135775,1.07797e-5
7,1048576,0.15591,0.500031,0.558133,0.149269,9.36847e-5
7,2097152,0.178309,0.500015,0.632237,0.13456,0.00372259
7,3145728,0.449599,0.50001,1.57167,0.122515,0.0363453
7,4194304,0.506587,0.500008,1.76353,0.121491,0.0313808
7,5242880,1.29232,0.500007,4.48791,0.125119,0.0947542
7,6291456,1.38236,0.500006,4.80047,0.126146,0.0966065
7,7340032,1.45276,0.500005,5.04945,0.12769,0.10147
7,8388608,1.4754,0.500004,5.12389,0.12752,0.101136
7,10485760,1.55123,0.500004,5.39317,0.127827,0.107095
7,12582912,1.60432,0.500003,5.57755,0.127991,0.110687
7,14680064,1.63295,0.500003,5.6789,0.128176,0.112495
7,16777216,1.65162,0.500002,5.74541,0.128178,0.113497
7,33554432,1.79139,0.500002,6.23428,0.128487,0.119312
7,67108864,1.81395,0.500001,6.32711,0.12854,0.120626
7,134217728,1.80968,0.500001,6.34747,0.128614,0.121033
8,8192,0.0381537,0.503906,0.136842,1.73892e-6,4.98345e-7
8,16384,0.0366537,0.501953,0.131463,4.075e-6,9.39966e-7
8,32768,0.0364728,0.500977,0.130755,3.91772e-6,2.52445e-6
8,65536,0.0553861,0.500488,0.198636,2.47319e-5,1.14958e-5
8,131072,0.0645005,0.500244,0.231325,0.0134021,1.76486e-5
8,524288,0.162585,0.500061,0.582721,0.142886,6.56514e-6
8,1048576,0.174411,0.500031,0.623833,0.149581,0.000554652
8,2097152,0.191668,0.500015,0.677124,0.125772,0.00304658
8,3145728,0.453259,0.50001,1.57701,0.121833,0.026188
8,4194304,1.435,0.500008,4.96911,0.124677,0.0853829
8,5242880,1.55064,0.500007,5.37435,0.125342,0.0941604
8,6291456,1.68068,0.500006,5.83108,0.12677,0.101373
8,7340032,1.72239,0.500005,5.97946,0.127724,0.103251
8,8388608,1.77024,0.500004,6.14154,0.127793,0.105934
8,10485760,1.82876,0.500004,6.351,0.127953,0.109749
8,12582912,1.86392,0.500003,6.47735,0.128131,0.112101
8,14680064,1.89725,0.500003,6.5964,0.12822,0.113688
8,16777216,1.95754,0.500003,6.79865,0.128279,0.115277
8,33554432,2.06162,0.500002,7.16019,0.128455,0.119795
8,67108864,2.07107,0.500001,7.19659,0.128589,0.12078
8,134217728,2.08671,0.500001,7.24969,0.128594,0.121156
