Cores,Size (B),Time (ns),Inst,Cycle,Cache Ref,Cache Miss
8,32768,0.559183,0.251221,2.05084,3.65981e-9,1.81171e-9
8,65536,0.561694,0.25061,2.05248,5.09317e-9,1.99361e-9
8,131072,0.563636,0.250305,2.06039,5.20959e-9,2.22644e-9
8,262144,0.562886,0.250153,2.06143,4.86034e-9,2.39379e-9
8,524288,0.564731,0.250076,2.06481,4.62751e-9,1.84809e-9
8,1048576,0.565173,0.250038,2.06478,6.61385e-9,2.16824e-9
8,2097152,0.563954,0.250019,2.06454,6.21367e-9,1.98634e-9
8,3145728,0.565031,0.250013,2.06472,1.1627e-8,2.83036e-9
8,4194304,0.566186,0.25001,2.07191,1.08776e-8,3.66708e-9
8,5242880,0.566062,0.250008,2.07452,5.31876e-9,1.81172e-9
8,6291456,0.567397,0.250007,2.07438,8.25097e-9,3.47065e-9
8,7340032,0.567517,0.250006,2.07856,4.10366e-9,2.241e-9
8,8388608,0.568014,0.250005,2.07527,6.17001e-9,1.7244e-9
8,9437184,0.568271,0.250004,2.07832,1.09576e-8,2.06638e-9
8,10485760,0.568126,0.250004,2.07601,7.12327e-9,1.36062e-9
8,11534336,0.568666,0.250004,2.07967,6.6212e-9,1.0332e-9
8,12582912,0.568562,0.250003,2.07788,1.05066e-8,2.08096e-9
8,13631488,0.56876,0.250003,2.07981,7.57443e-9,2.06642e-9
8,14680064,0.568081,0.250003,2.07987,1.43628e-8,2.9395e-9
8,15728640,0.56821,0.250003,2.08201,9.29882e-9,3.30334e-9
8,16777216,0.56825,0.250003,2.08257,1.42463e-8,4.19095e-9
8,33554432,0.568231,0.250001,2.07738,1.93177e-8,4.9331e-9
8,67108864,0.56572,0.250001,2.07229,3.2931e-8,5.70435e-9
8,134217728,0.564628,0.25,2.06637,1.21421e-7,6.84668e-9
8,268435456,0.562598,0.25,2.06208,8.95787e-7,9.24774e-9
9,8192,0.634856,0.254883,2.2846,6.97764e-9,3.28146e-9
9,16384,0.634209,0.252442,2.28228,5.98084e-9,2.44472e-9
9,32768,0.631588,0.251221,2.2728,1.36861e-8,4.19095e-9
9,65536,0.631753,0.250611,2.27344,6.75936e-9,2.49565e-9
9,131072,0.632179,0.250305,2.27496,5.25324e-9,2.75031e-9
9,262144,0.632419,0.250153,2.27586,5.51518e-9,2.452e-9
9,524288,0.63287,0.250076,2.27746,6.91216e-9,2.53203e-9
9,1048576,0.633108,0.250038,2.2783,8.41101e-9,3.49246e-9
9,2097152,0.632791,0.250019,2.27718,1.03537e-8,3.27418e-9
9,3145728,0.63662,0.250013,2.29094,8.08362e-9,3.74713e-9
9,4194304,0.637579,0.25001,2.2944,9.11677e-9,2.4811e-9
9,5242880,0.637909,0.250008,2.2956,5.4861e-9,2.01545e-9
9,6291456,0.638462,0.250007,2.29747,7.70527e-9,2.64846e-9
9,7340032,0.638627,0.250006,2.29807,1.19472e-8,2.32104e-9
9,8388608,0.638485,0.250005,2.29757,1.16561e-8,2.23372e-9
9,9437184,0.639365,0.250004,2.30033,3.62613e-7,1.08339e-8
9,10485760,0.638534,0.250004,2.2977,7.35611e-9,9.96821e-10
9,11534336,0.638485,0.250004,2.29751,8.9277e-9,1.27331e-9
9,12582912,0.638403,0.250003,2.29724,6.76674e-9,9.09509e-10
9,13631488,0.638369,0.250003,2.29709,1.30097e-8,2.01548e-9
9,14680064,0.638338,0.250003,2.29696,1.01573e-8,2.52477e-9
9,15728640,0.638369,0.250003,2.29704,2.03875e-8,4.14736e-9
9,16777216,0.638471,0.250003,2.2974,1.97469e-8,4.15457e-9
9,33554432,0.636099,0.250001,2.28886,3.13012e-8,4.24916e-9
9,67108864,0.634516,0.250001,2.28316,9.17935e-8,5.87897e-9
9,134217728,0.63253,0.25,2.27604,2.70542e-7,7.66158e-9
9,268435456,0.631475,0.25,2.27221,1.17308e-6,8.54925e-9
10,8192,0.70626,0.254883,2.54142,5.1441e-9,1.59343e-9
10,16384,0.714875,0.252442,2.57245,5.48607e-9,2.21917e-9
10,32768,0.702832,0.251221,2.52913,5.23141e-9,1.06957e-9
10,65536,0.70614,0.250611,2.54107,4.45289e-9,1.63709e-9
10,131072,0.706269,0.250305,2.54154,4.30737e-9,1.64437e-9
10,262144,0.704545,0.250153,2.53529,5.66797e-9,1.96451e-9
10,524288,0.704856,0.250076,2.53638,8.16362e-9,1.53523e-9
10,1048576,0.704678,0.250038,2.53576,5.37693e-9,1.52068e-9
10,2097152,0.704842,0.250019,2.53638,8.68022e-9,1.06957e-9
10,3145728,0.708187,0.250013,2.54843,9.61885e-9,1.41882e-9
10,4194304,0.709634,0.25001,2.55362,1.03828e-8,1.23691e-9
10,5242880,0.710132,0.250008,2.55539,8.87672e-9,1.89176e-9
10,6291456,0.710973,0.250007,2.5582,9.18957e-9,2.10276e-9
10,7340032,0.71092,0.250006,2.55809,1.16925e-8,2.25556e-9
10,8388608,0.710983,0.250005,2.55834,1.11759e-8,1.45519e-9
10,9437184,0.710788,0.250004,2.5576,1.99653e-8,2.58297e-9
10,10485760,0.71087,0.250004,2.55789,1.16417e-8,4.94773e-10
10,11534336,0.711046,0.250004,2.55846,1.26458e-8,1.40428e-9
10,12582912,0.71111,0.250003,2.55875,1.18382e-8,1.81174e-9
10,13631488,0.710994,0.250003,2.55835,1.13638e-7,7.13059e-10
10,14680064,0.710939,0.250003,2.55812,5.20524e-8,1.97907e-9
10,15728640,0.710972,0.250003,2.55822,2.14353e-7,3.20147e-9
10,16777216,0.710862,0.250003,2.5578,2.43963e-8,4.24916e-9
10,33554432,0.708324,0.250001,2.54869,1.34518e-7,2.96859e-9
10,67108864,0.706755,0.250001,2.54301,9.43859e-7,5.18048e-9
10,134217728,0.70474,0.25,2.53578,9.18109e-7,4.86034e-9
10,268435456,0.703864,0.25,2.53261,2.44132e-6,9.04402e-9
