Size,Repeat,Workers,Buffer Ring,Do Wait,Complete CB,Unmap,Time (ns)
1024,256,28,4,0,1,0,687.4808082580566
1024,256,28,4,0,1,0,698.8797645568848
1024,256,28,4,0,1,0,699.9987106323242
1024,256,28,4,0,1,0,732.9939460754395
1024,256,28,4,0,1,0,856.5353202819824
1024,256,28,4,0,1,1,653.2721748352051
1024,256,28,4,0,1,1,657.7471351623535
1024,256,28,4,0,1,1,658.9233665466309
1024,256,28,4,0,1,1,663.9697151184082
1024,256,28,4,0,1,1,666.3467102050781
1024,256,28,4,0,1,1,667.4749755859375
1024,256,28,4,0,1,1,668.2684173583984
1024,256,28,4,0,1,1,670.1818428039551
1024,256,28,4,0,1,1,672.569995880127
1024,256,28,4,0,1,1,673.4358177185059
1024,256,28,4,0,1,1,676.9810028076172
1024,256,28,4,0,1,1,678.7670745849609
1024,256,28,4,0,1,1,679.2354278564453
1024,256,28,4,0,1,1,679.322193145752
1024,256,28,4,0,1,1,680.4124374389648
1024,256,28,4,0,1,1,684.8729591369629
1024,256,28,4,0,1,1,693.5595893859863
1024,256,28,4,0,1,1,772.4404067993164
1024,256,28,4,0,1,1,780.0338821411133
1024,256,28,4,0,1,1,812.966365814209
1024,256,28,4,1,0,0,573.2528686523438
1024,256,28,4,1,0,0,575.5511627197266
1024,256,28,4,1,0,0,575.7829513549805
1024,256,28,4,1,0,0,581.3458099365234
1024,256,28,4,1,0,0,583.7102241516113
1024,256,28,4,1,0,0,584.4926948547363
1024,256,28,4,1,0,0,585.1178741455078
1024,256,28,4,1,0,0,586.7177696228027
1024,256,28,4,1,0,0,589.9391784667969
1024,256,28,4,1,0,0,594.9614791870117
1024,256,28,4,1,0,0,611.8188400268555
1024,256,28,4,1,0,0,621.764404296875
1024,256,28,4,1,0,0,624.810676574707
1024,256,28,4,1,0,0,658.5717849731445
1024,256,28,4,1,0,0,663.3276596069336
1024,256,28,4,1,0,0,663.5594520568848
1024,256,28,4,1,0,0,668.001636505127
1024,256,28,4,1,0,0,668.0736923217773
1024,256,28,4,1,0,0,707.3920135498047
1024,256,28,4,1,0,0,757.5860633850098
1024,256,28,4,1,0,1,654.5801658630371
1024,256,28,4,1,0,1,658.1114959716797
1024,256,28,4,1,0,1,660.7389831542969
1024,256,28,4,1,0,1,661.304126739502
1024,256,28,4,1,0,1,663.0724830627441
1024,256,28,4,1,0,1,664.9822273254395
1024,256,28,4,1,0,1,668.4732360839844
1024,256,28,4,1,0,1,669.786506652832
1024,256,28,4,1,0,1,675.791431427002
1024,256,28,4,1,0,1,675.9931030273438
1024,256,28,4,1,0,1,676.0407066345215
1024,256,28,4,1,0,1,677.6126136779785
1024,256,28,4,1,0,1,679.7842330932617
1024,256,28,4,1,0,1,680.8255615234375
1024,256,28,4,1,0,1,681.1469573974609
1024,256,28,4,1,0,1,684.5421829223633
1024,256,28,4,1,0,1,767.6239204406738
1024,256,28,4,1,0,1,791.7613792419434
1024,256,28,4,1,0,1,940.7769622802734
1024,256,28,4,1,0,1,965.8397598266602
1024,256,28,4,1,1,0,570.6855239868164
1024,256,28,4,1,1,0,574.4852523803711
1024,256,28,4,1,1,0,580.1969451904297
1024,256,28,4,1,1,0,581.3271217346191
1024,256,28,4,1,1,0,582.1781997680664
1024,256,28,4,1,1,0,588.2836074829102
1024,256,28,4,1,1,0,589.039379119873
1024,256,28,4,1,1,0,589.2955513000488
1024,256,28,4,1,1,0,592.387020111084
1024,256,28,4,1,1,0,593.6427192687988
1024,256,28,4,1,1,0,593.7756080627441
1024,256,28,4,1,1,0,594.1102027893066
1024,256,28,4,1,1,0,596.5417213439941
1024,256,28,4,1,1,0,630.2850608825684
1024,256,28,4,1,1,0,631.639347076416
1024,256,28,4,1,1,0,659.1869697570801
1024,256,28,4,1,1,0,685.8723526000977
1024,256,28,4,1,1,0,708.1708679199219
