Size,Repeat,Independent Chains,Time (ns)
16384,32,3,3.560487747192383
16384,32,3,3.5650291442871094
16384,32,3,3.847360610961914
16384,32,3,3.574636459350586
16384,32,3,3.601167678833008
16384,32,3,3.948627471923828
16384,32,3,3.584970474243164
16384,32,3,3.574094772338867
16384,32,3,3.886812210083008
16384,32,3,3.5497474670410156
16384,32,3,3.547677993774414
16384,32,3,3.7980117797851562
16384,32,3,3.5499191284179688
16384,32,3,3.622812271118164
16384,32,3,3.632772445678711
16384,32,3,3.901031494140625
16384,32,3,3.592161178588867
16384,32,3,3.9265918731689453
16384,32,3,3.9064559936523438
16384,32,3,3.8998661041259766
16384,32,3,3.5883560180664062
16384,32,3,3.545307159423828
16384,32,3,3.6462764739990234
16384,32,3,3.639873504638672
16384,32,3,3.5817127227783203
16384,32,3,3.5882606506347656
16384,32,3,3.968433380126953
16384,32,3,3.5769214630126953
16384,32,3,3.5838565826416016
16384,32,3,3.6144943237304688
16384,32,3,3.6158676147460938
16384,32,3,3.9352874755859375
16384,32,3,3.8500213623046875
16384,32,3,3.9748897552490234
16384,32,3,3.3132781982421875
16384,32,3,3.7896270751953125
16384,32,3,3.953784942626953
16384,32,3,3.933267593383789
16384,32,3,3.5972633361816406
16384,32,3,3.623075485229492
16384,32,3,3.608234405517578
16384,32,3,3.574525833129883
16384,32,3,3.6194915771484375
16384,32,3,3.572908401489258
16384,32,3,3.3544044494628906
16384,32,3,3.550647735595703
16384,32,3,3.976461410522461
16384,32,3,3.5596485137939453
16384,32,3,3.520528793334961
16384,32,4,4.299192428588867
16384,32,4,4.84337043762207
16384,32,4,4.872657775878906
16384,32,4,5.034914016723633
16384,32,4,6.213436126708984
16384,32,4,5.029623031616211
16384,32,4,4.819927215576172
16384,32,4,5.069923400878906
16384,32,4,5.082660675048828
16384,32,4,5.07136344909668
16384,32,4,5.053218841552734
16384,32,4,5.017057418823242
16384,32,4,4.961359024047852
16384,32,4,4.855169296264648
16384,32,4,5.1443939208984375
16384,32,4,5.021690368652344
16384,32,4,5.082418441772461
16384,32,4,4.755178451538086
16384,32,4,5.012378692626953
16384,32,4,4.995851516723633
