CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
8,7,0.181939,0.253586,0.720554,0.0627584,1.07296e-8,6.10352e-5,6.80822e-6,9.9044e-6
8,9,0.192889,0.25399,0.752556,0.0627726,2.59412e-8,6.10352e-5,8.60082e-6,1.69214e-5
9,0,0.197069,0.253714,0.775237,0.0627996,2.22547e-8,6.10352e-5,6.54398e-6,1.17822e-5
9,1,0.191814,0.253264,0.756206,0.0627619,1.49943e-7,6.10352e-5,3.0308e-6,4.01097e-6
9,2,0.19817,0.253381,0.781851,0.0628068,1.75399e-8,6.10352e-5,4.88523e-6,6.15777e-6
9,3,0.190955,0.253231,0.75369,0.0626872,8.57981e-8,6.10352e-5,2.37043e-6,3.29997e-6
9,4,0.194611,0.253281,0.768102,0.0627781,1.43191e-8,6.10352e-5,3.27826e-6,4.24941e-6
9,5,0.202756,0.253959,0.792279,0.0628725,8.29653e-7,6.10352e-5,1.15318e-5,1.68168e-5
9,6,0.197997,0.254194,0.765821,0.0627801,1.06229e-7,6.10352e-5,1.02441e-5,2.03359e-5
9,7,0.208761,0.255848,0.800493,0.0628635,1.31332e-6,6.10352e-5,2.19683e-5,4.91809e-5
9,8,0.198683,0.253558,0.784205,0.0628435,5.85957e-9,6.10352e-5,7.40151e-6,9.44652e-6
