CPU Write,CPU Read,Inst,Cycle,Cache Ref,Cache Miss,Pipe RW,Pipe Stall,Pipe Sync
8,7,0.182201,0.252846,0.721633,0.062682,2.17309e-9,6.10352e-5,3.88051e-11,1.37758e-9
8,9,0.193193,0.252846,0.753783,0.0626794,4.62945e-8,6.10352e-5,1.16415e-10,1.84324e-9
9,0,0.197346,0.252846,0.776491,0.062631,7.12074e-9,6.10352e-5,3.88051e-11,1.39698e-9
9,1,0.192062,0.252838,0.75734,0.0626404,4.24994e-7,6.10352e-5,1.16415e-10,1.5522e-9
9,2,0.198427,0.252838,0.78301,0.0626629,2.26622e-8,6.10352e-5,1.94026e-11,8.3431e-10
9,3,0.19126,0.252845,0.754982,0.06256,4.57318e-8,6.10352e-5,1.94026e-11,8.53712e-10
9,4,0.194858,0.252838,0.769184,0.0626483,5.74316e-9,6.10352e-5,3.88051e-11,1.16415e-9
9,5,0.20299,0.252838,0.793264,0.0627112,6.11568e-7,6.10352e-5,3.88051e-11,1.28057e-9
9,6,0.198257,0.252838,0.766852,0.0626553,6.68612e-8,6.10352e-5,1.94026e-11,8.3431e-10
9,7,0.209011,0.252838,0.801498,0.0627418,1.06809e-6,6.10352e-5,3.88051e-11,1.18356e-9
9,8,0.198955,0.252846,0.785363,0.0627125,3.31784e-9,6.10352e-5,3.88051e-11,1.31937e-9
